Rank,Player,Position,School,Class,Photo_Url,Pick,Slot Value,Player Cost,Player Cost Note,
57,Kaden Waechter,RHP,Jesuit,H,"https://image.maxpreps.io/rosters/76954902-6d31-4d59-b6f4-dbdf36f35ff5/5/9/d/59d10f02-d23e-42fd-aaa9-166ade698565/original.jpg?version=638440377263400063&width=1024&crop=1:1,smart",57,"$1,677,400","$2,200,000",,"$2,200,000"
58,Kaiden McCarthy,RHP,Vermont Academy,H,https://bloximages.chicago2.vip.townnews.com/rutlandherald.com/content/tncms/assets/v3/editorial/6/34/6341c1c4-e29c-57a8-be6b-8379d64058ac/64443b980f2c6.image.jpg?resize=400%2C267,58,"$1,637,700","$2,200,000",,
59,Cole Prosek,3B,Magnolia Heights,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/5052924.jpg,59,"$1,598,900","$2,200,000",,
60,Taj Marchand,SS,James Island,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/10103470.jpeg,60,"$1,561,000","$2,200,000",,
61,Matt Ponatoski,SS/RHP,Archbishop Moeller,H,https://letsgobigmoe.com/images/2024/4/9/Ponatoski__Matt.jpg?width=300,61,"$1,523,600","$2,000,000",,
62,Trey Beard,LHP,Florida State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffsuni.sidearmsports.com%2Fimages%2F2025%2F8%2F25%2FBeard__Trey_25-264RL__027_.JPG&width=180&height=270&type=webp,62,"$1,487,200","$1,487,200",,
63,Cole Koeninger,SS/RHP,Keller,H,https://www.ncsasports.org/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Frms-rmfiles-production%2Fclient_photos%2Fathlete_15134524_profile.jpg&w=384&q=75,63,"$1,451,700","$2,000,000",,
64,Brody Bumila,LHP,Bishop Feehan,H,https://pbs.twimg.com/profile_images/1818043961769951232/5MhaqJ-e_400x400.jpg,64,"$1,416,600","$2,000,000",,
65,Coleman Borthwick,3B/RHP,South Walton,H,https://pbs.twimg.com/media/Gq3jyqZXAAA_c5s?format=jpg&name=900x900,65,"$1,382,600","$2,000,000",,"$2,200,000"
66,Aiden Ruiz,SS,The Stony Brook School,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/8872368.jpeg,66,"$1,353,100","$1,600,000",,
67,Ryan Lynch,RHP,North Carolina,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Func.sidearmsports.com%2Fimages%2F2024%2F11%2F14%2FLynch_Ryan.2025.bb.214.jpg&width=180&height=270&type=webp,67,"$1,317,300","$1,317,300",,
68,Evan Dempsey,RHP,Florida Gulf Coast,C,https://fgcuathletics.com/images/2024/10/3/Evan_Dempsey.JPG,68,"$1,285,500","$1,285,500",,
69,Ben Blair,RHP,Liberty,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Flibertyuni.sidearmsports.com%2Fimages%2F2025%2F1%2F14%2FBen_Blair_20241122-8606AG.jpg&width=180&height=270&type=webp,69,"$1,254,200","$1,254,200",,
70,Landon Thome,2B,Nazareth,H,https://cdn.d1baseball.com/uploads/2025/08/08041354/ACG25-LandonThomeHR.jpg,70,"$1,223,100","$1,800,000",,
71,Maddox Molony,SS,Oregon,C,https://dailyemerald.com/wp-content/uploads/2025/03/2025.03.02.EMG_.MCU_.BB_.UO_.vs_.COL-06-1200x900.jpeg,71,"$1,192,600","$1,192,600",,"$2,200,000"
